Name,Species,Weeks,Sex,Condition,Trial ,Correct
Cherri,Wolf,12,F,proximal,2,1
Cherri,Wolf,12,F,proximal,3,0
Cherri,Wolf,12,F,proximal,4,0
Cherri,Wolf,12,F,proximal,5,0
Cherri,Wolf,12,F,proximal,6,0
Cherri,Wolf,12,F,marker,1,1
Cherri,Wolf,12,F,marker,2,0
Cherri,Wolf,12,F,marker,3,1
Cherri,Wolf,12,F,marker,4,0
Cherri,Wolf,12,F,marker,5,1
Cherri,Wolf,12,F,marker,6,1
Cherri,Wolf,12,F,asymmetrical,1,1
Cherri,Wolf,12,F,asymmetrical,2,0
Cherri,Wolf,12,F,asymmetrical,3,0
Cherri,Wolf,12,F,asymmetrical,4,1
Cherri,Wolf,12,F,asymmetrical,5,1
Cherri,Wolf,12,F,asymmetrical,6,0
Cherri,Wolf,12,F,odor,1,1
Cherri,Wolf,12,F,odor,2,1
Cherri,Wolf,12,F,odor,3,0
Cherri,Wolf,12,F,odor,4,0
Cherri,Wolf,12,F,odor,5,0
Cherri,Wolf,12,F,odor,6,1
Tiny,Wolf,12,F,proximal,1,1
Tiny,Wolf,12,F,proximal,2,1
Tiny,Wolf,12,F,proximal,3,1
Tiny,Wolf,12,F,proximal,4,0
Tiny,Wolf,12,F,proximal,5,1
Tiny,Wolf,12,F,proximal,6,0
Tiny,Wolf,12,F,marker,1,1
Tiny,Wolf,12,F,marker,2,0
Tiny,Wolf,12,F,marker,3,0
Tiny,Wolf,12,F,marker,4,0
Tiny,Wolf,12,F,marker,5,0
Tiny,Wolf,12,F,marker,6,0
Tiny,Wolf,12,F,asymmetrical,1,0
Tiny,Wolf,12,F,asymmetrical,2,0
Tiny,Wolf,12,F,asymmetrical,3,0
Tiny,Wolf,12,F,asymmetrical,4,0
Tiny,Wolf,12,F,asymmetrical,5,0
Tiny,Wolf,12,F,asymmetrical,6,0
Tiny,Wolf,12,F,odor,1,0
Tiny,Wolf,12,F,odor,2,0
Tiny,Wolf,12,F,odor,3,0
Tiny,Wolf,12,F,odor,4,1
Tiny,Wolf,12,F,odor,5,0
Tiny,Wolf,12,F,odor,6,0
Grey,Wolf,12,M,proximal,1,0
Grey,Wolf,12,M,proximal,2,1
Grey,Wolf,12,M,proximal,3,0
Grey,Wolf,12,M,proximal,4,1
Grey,Wolf,12,M,proximal,5,1
Grey,Wolf,12,M,proximal,6,0
Grey,Wolf,12,M,marker,1,1
Grey,Wolf,12,M,marker,2,1
