Name,Species,Weeks,Type,Condition,Trial,Touch
CCI07,Dog,7,T1,SF,15,0
CCI07,Dog,7,T1,SF,16,1
CCI08,Dog,7,T1,NSF,1,0
CCI08,Dog,7,T1,NSF,2,0
CCI08,Dog,7,T1,NSF,3,1
CCI08,Dog,7,T1,NSF,4,1
CCI08,Dog,7,T1,NSU,5,0
CCI08,Dog,7,T1,NSU,6,0
CCI08,Dog,7,T1,NSU,7,0
CCI08,Dog,7,T1,NSU,8,1
CCI08,Dog,7,T1,SF,9,0
CCI08,Dog,7,T1,SF,10,1
CCI08,Dog,7,T1,SF,11,0
CCI08,Dog,7,T1,SF,12,0
CCI08,Dog,7,T1,SU,13,0
CCI08,Dog,7,T1,SU,14,0
CCI08,Dog,7,T1,SU,15,0
CCI08,Dog,7,T1,SU,16,0
CCI09,Dog,7,T1,NSF,1,0
CCI09,Dog,7,T1,NSF,2,1
CCI09,Dog,7,T1,NSF,3,0
CCI09,Dog,7,T1,NSF,4,0
CCI09,Dog,7,T1,NSU,5,1
CCI09,Dog,7,T1,NSU,6,1
CCI09,Dog,7,T1,NSU,7,1
CCI09,Dog,7,T1,NSU,8,1
CCI09,Dog,7,T1,SF,9,1
CCI09,Dog,7,T1,SF,10,1
CCI09,Dog,7,T1,SF,11,1
CCI09,Dog,7,T1,SF,12,1
CCI09,Dog,7,T1,SU,13,1
CCI09,Dog,7,T1,SU,14,1
CCI09,Dog,7,T1,SU,15,1
CCI09,Dog,7,T1,SU,16,1
CCI10,Dog,7,T1,NSU,1,1
CCI10,Dog,7,T1,NSU,2,1
CCI10,Dog,7,T1,NSU,3,1
CCI10,Dog,7,T1,NSU,4,1
CCI10,Dog,7,T1,NSF,5,1
CCI10,Dog,7,T1,NSF,6,0
CCI10,Dog,7,T1,NSF,7,1
CCI10,Dog,7,T1,NSF,8,NA
CCI10,Dog,7,T1,SU,9,1
CCI10,Dog,7,T1,SU,10,1
CCI10,Dog,7,T1,SU,11,1
CCI10,Dog,7,T1,SU,12,1
CCI10,Dog,7,T1,SF,13,1
CCI10,Dog,7,T1,SF,14,0
CCI10,Dog,7,T1,SF,15,1
CCI10,Dog,7,T1,SF,16,1
CCI11,Dog,7,T1,SF,1,1
CCI11,Dog,7,T1,SF,2,1
CCI11,Dog,7,T1,SF,3,1
CCI11,Dog,7,T1,SF,4,1
CCI11,Dog,7,T1,SU,5,1
CCI11,Dog,7,T1,SU,6,1
CCI11,Dog,7,T1,SU,7,1
CCI11,Dog,7,T1,SU,8,1
CCI11,Dog,7,T1,NSF,9,0
CCI11,Dog,7,T1,NSF,10,1
CCI11,Dog,7,T1,NSF,11,0
CCI11,Dog,7,T1,NSF,12,1
CCI11,Dog,7,T1,NSU,13,1
CCI11,Dog,7,T1,NSU,14,1
CCI11,Dog,7,T1,NSU,15,1
CCI11,Dog,7,T1,NSU,16,1
CCI12,Dog,7,T1,SU,1,1
CCI12,Dog,7,T1,SU,2,1
CCI12,Dog,7,T1,SU,3,1
CCI12,Dog,7,T1,SU,4,1
CCI12,Dog,7,T1,SF,5,1
CCI12,Dog,7,T1,SF,6,0
CCI12,Dog,7,T1,SF,7,1
CCI12,Dog,7,T1,SF,8,1
CCI12,Dog,7,T1,NSU,9,1
CCI12,Dog,7,T1,NSU,10,1
CCI12,Dog,7,T1,NSU,11,1
CCI12,Dog,7,T1,NSU,12,1
CCI12,Dog,7,T1,NSF,13,0
CCI12,Dog,7,T1,NSF,14,0
CCI12,Dog,7,T1,NSF,15,0
CCI12,Dog,7,T1,NSF,16,0
CCI13,Dog,7,T1,NSF,1,1
CCI13,Dog,7,T1,NSF,2,0
CCI13,Dog,7,T1,NSF,3,1
CCI13,Dog,7,T1,NSF,4,0
CCI13,Dog,7,T1,NSU,5,1
CCI13,Dog,7,T1,NSU,6,1
CCI13,Dog,7,T1,NSU,7,1
CCI13,Dog,7,T1,NSU,8,1
CCI13,Dog,7,T1,SF,9,1
CCI13,Dog,7,T1,SF,10,1
CCI13,Dog,7,T1,SF,11,1
CCI13,Dog,7,T1,SF,12,1
CCI13,Dog,7,T1,SU,13,1
CCI13,Dog,7,T1,SU,14,1
CCI13,Dog,7,T1,SU,15,0
CCI13,Dog,7,T1,SU,16,0
CCI14,Dog,7,T1,NSF,1,1
CCI14,Dog,7,T1,NSF,2,1
CCI14,Dog,7,T1,NSF,3,1
CCI14,Dog,7,T1,NSF,4,1
CCI14,Dog,7,T1,NSU,5,0
CCI14,Dog,7,T1,NSU,6,0
CCI14,Dog,7,T1,NSU,7,0
CCI14,Dog,7,T1,NSU,8,0
CCI14,Dog,7,T1,SF,9,1
CCI14,Dog,7,T1,SF,10,0
CCI14,Dog,7,T1,SF,11,1
CCI14,Dog,7,T1,SF,12,0
CCI14,Dog,7,T1,SU,13,0
CCI14,Dog,7,T1,SU,14,1
CCI14,Dog,7,T1,SU,15,0
CCI14,Dog,7,T1,SU,16,1
CCI15,Dog,7,T1,SF,1,1
CCI15,Dog,7,T1,SF,2,1
CCI15,Dog,7,T1,SF,3,1
CCI15,Dog,7,T1,SF,4,1
CCI15,Dog,7,T1,SU,5,0
CCI15,Dog,7,T1,SU,6,0
CCI15,Dog,7,T1,SU,7,1
CCI15,Dog,7,T1,SU,8,1
CCI15,Dog,7,T1,NSF,9,0
CCI15,Dog,7,T1,NSF,10,0
CCI15,Dog,7,T1,NSF,11,0
CCI15,Dog,7,T1,NSF,12,1
CCI15,Dog,7,T1,NSU,13,1
CCI15,Dog,7,T1,NSU,14,1
CCI15,Dog,7,T1,NSU,15,1
CCI15,Dog,7,T1,NSU,16,1
CCI16,Dog,7,T1,SU,1,1
CCI16,Dog,7,T1,SU,2,0
CCI16,Dog,7,T1,SU,3,1
CCI16,Dog,7,T1,SU,4,1
CCI16,Dog,7,T1,SF,5,1
CCI16,Dog,7,T1,SF,6,1
CCI16,Dog,7,T1,SF,7,1
CCI16,Dog,7,T1,SF,8,1
CCI16,Dog,7,T1,NSU,9,1
CCI16,Dog,7,T1,NSU,10,1
CCI16,Dog,7,T1,NSU,11,1
CCI16,Dog,7,T1,NSU,12,1
CCI16,Dog,7,T1,NSF,13,1
CCI16,Dog,7,T1,NSF,14,1
CCI16,Dog,7,T1,NSF,15,1
CCI16,Dog,7,T1,NSF,16,0
CCI17,Dog,7,T1,NSF,1,0
CCI17,Dog,7,T1,NSF,2,0
CCI17,Dog,7,T1,NSF,3,1
CCI17,Dog,7,T1,NSF,4,1
CCI17,Dog,7,T1,NSU,5,1
CCI17,Dog,7,T1,NSU,6,1
CCI17,Dog,7,T1,NSU,7,1
CCI17,Dog,7,T1,NSU,8,1
CCI17,Dog,7,T1,SF,9,1
CCI17,Dog,7,T1,SF,10,0
CCI17,Dog,7,T1,SF,11,1
CCI17,Dog,7,T1,SF,12,1
CCI17,Dog,7,T1,SU,13,0
CCI17,Dog,7,T1,SU,14,0
CCI17,Dog,7,T1,SU,15,1
CCI17,Dog,7,T1,SU,16,1
CCI18,Dog,7,T1,NSU,1,1
CCI18,Dog,7,T1,NSU,2,1
CCI18,Dog,7,T1,NSU,3,1
CCI18,Dog,7,T1,NSU,4,1
CCI18,Dog,7,T1,NSF,5,0
CCI18,Dog,7,T1,NSF,6,1
CCI18,Dog,7,T1,NSF,7,0
CCI18,Dog,7,T1,NSF,8,0
CCI18,Dog,7,T1,SU,9,1
CCI18,Dog,7,T1,SU,10,1
CCI18,Dog,7,T1,SU,11,1
CCI18,Dog,7,T1,SU,12,1
CCI18,Dog,7,T1,SF,13,1
CCI18,Dog,7,T1,SF,14,1
CCI18,Dog,7,T1,SF,15,1
CCI18,Dog,7,T1,SF,16,0
CCI19,Dog,7,T1,NSF,1,1
CCI19,Dog,7,T1,NSF,2,0
CCI19,Dog,7,T1,NSF,3,0
CCI19,Dog,7,T1,NSF,4,NA
CCI19,Dog,7,T1,NSU,5,0
CCI19,Dog,7,T1,NSU,6,1
CCI19,Dog,7,T1,NSU,7,1
CCI19,Dog,7,T1,NSU,8,1
CCI19,Dog,7,T1,SF,9,0
CCI19,Dog,7,T1,SF,10,1
CCI19,Dog,7,T1,SF,11,1
CCI19,Dog,7,T1,SF,12,1
CCI19,Dog,7,T1,SU,13,1
CCI19,Dog,7,T1,SU,14,1
CCI19,Dog,7,T1,SU,15,0
CCI19,Dog,7,T1,SU,16,0
CCI20,Dog,7,T1,SU,1,1
CCI20,Dog,7,T1,SU,2,1
CCI20,Dog,7,T1,SU,3,1
CCI20,Dog,7,T1,SU,4,1
CCI20,Dog,7,T1,SF,5,1
CCI20,Dog,7,T1,SF,6,1
CCI20,Dog,7,T1,SF,7,0
CCI20,Dog,7,T1,SF,8,1
CCI20,Dog,7,T1,NSU,9,1
CCI20,Dog,7,T1,NSU,10,1
CCI20,Dog,7,T1,NSU,11,1
CCI20,Dog,7,T1,NSU,12,1
CCI20,Dog,7,T1,NSF,13,0
CCI20,Dog,7,T1,NSF,14,0
CCI20,Dog,7,T1,NSF,15,0
CCI20,Dog,7,T1,NSF,16,0
CCI21,Dog,7,T1,SF,1,1
CCI21,Dog,7,T1,SF,2,1
CCI21,Dog,7,T1,SF,3,1
CCI21,Dog,7,T1,SF,4,1
CCI21,Dog,7,T1,SU,5,1
